ASM39832	KOS-오더_KOS-오더_KOS-모바일배치_서비스요청_2선
ASM30041	KOS-요금_ICIS_결합상품_서비스요청_운영
ASM38978	KOS-오더_KOS-Customer_KOS-IPTV_서비스요청_2선
ASM14424	OSS_NeOSS_개통관리(SO-N)WiFi/VPN/WiBRO/코넷_서비스요청_운영
ASM40592	KOS-오더_DT플랫폼_DT플랫폼_서비스요청_2선
ASM35407	인증플랫폼_본인확인_본인확인_서비스요청_2선
ASM33911	kt telecop 관제전산_관제전산_서비스요청_운영
ASM30019	NetWork_충청
ASM38943	KOS-요금_KOS-Billing_KOS-Settlement_서비스요청_2선
ASM36666	결제과금플랫폼_통합쿠폰플랫폼(CouponPlatform)_통합쿠폰플랫폼(CouponPlatform)_서비스요청_2선
ASM39462	결제과금플랫폼_비즈나루_비즈나루_서비스요청_2선
ASM28245	IT서비스관리_ITSM_ITSM_서비스요청_운영
ASM34302	결제과금플랫폼_결제(LUPIN)_결제(LUPIN)_서비스요청_2선
ASM34850	KOS-CRM_KOS-CRM(B2B)_Bizmate_서비스요청_2선
ASM36661	KOS-요금_KOS-Billing_KOS-Rater_서비스요청_2선
ASM40492	kt telecop 모바일_모바일영업지원_모바일영업지원_서비스요청_2선
ASM18742	ERP_ERP_계약/구매/물류_ECC_서비스요청_운영_시스템
ASM18813	ERP_ERP_재무회계_ECC_서비스요청_운영_시스템
ASM35386	인증플랫폼_CAPRI_CAPRI_서비스요청_2선
ASM36513	KOS-오더_BSS-IoT_정산_서비스요청_운영
ASM38983	KOS-오더_KOS-Customer_KOS-SOIP_서비스요청_2선
ASM35661	서비스플랫폼_벨링콘텐츠(구 링투유)_벨링콘텐츠(구 링투유)_서비스요청_2선
ASM34844	KOS-오더_KOS-공통_SCHist_서비스요청_2선
ASM18728	ERP_ERP_경영계획/예산_ECC_서비스요청_운영_시스템
ASM39872	KOS-오더_KOS-오더_KOS-PSTN_서비스요청_2선
ASM30043	KOS-요금_ICIS_NS(지능망)_서비스요청_운영
